publish_date,title,content,press
2014-03-08,"踏入危險世界 
方大同秀拳腳遭飛踢",方大同(右)在「危險世界」MV裡扮「一代宗師」。                    方大同(右)在「危險世界」MV裡扮「一代宗師」。                                    方大同4月11日發行新專輯「危險世界」，同名MV很有「一代宗師」的味道，「方師父」挑戰武打，遭飛踢掛彩，大嘆武打明星難為。奧斯卡頒獎典禮當天，方大同的首波同名主打前導短片已搭便車強打，以「踏入未知，開始冒險」的概念，吸引觀眾注意。將在18日於台北欣欣秀泰影城首映的完整MV，則宛如冒險片，小時候學過太極和形意拳的方大同，更把最愛的武俠元素加入MV中。方大同為了呈現精確逼真的打鬥效果，特別請來武術老師特訓，為期兩周的訓練讓久未練武的他全身痠痛，還曾不小心被武術老師踢中肚子飛出去，但方大同爬起來後，自己提議將這動作加到MV。不過當天在10度低溫中淋雨拍武打動作，他也大嘆：「武功高強的男主角真的不好當。」MV橫跨港台拍攝，在香港的場面浩大，一場深夜在山區的武打戲，動員近百名臨演，還調來灑水車製造大雨，方大同以一擋百雨中決鬥。完整版MV近日公開，方大同也將和KKBOX獨家合作在台唯一一場新歌會，透過KKTIX報名，相關訊息可洽金牌大風唱片公司。,聯合報
2014-03-08,"沒得奧斯卡 小珍妮佛鬆口氣 
拒當下一個安海瑟薇",夏琳伍德利被看好是下一個會暴紅的青春女星。                    夏琳伍德利被看好是下一個會暴紅的青春女星。                                    紅透半邊天的珍妮佛勞倫斯，今年以「瞞天大佈局」角逐奧斯卡最佳女配角失利，她卻反倒鬆了口氣，不願自己名聲、獎項都太快到手，招嫉引來批評，半開玩笑表示不想變成下一個安海瑟薇。去年珍妮佛與安海瑟薇分別奪下奧斯卡最佳女主角與女配角，際遇卻大不同：珍妮佛的「飢餓遊戲：星火燎原」打敗「鋼鐵人3」成為全美年度最賣座大片，當紅氣勢到達頂點；安海瑟薇卻接連被報導大頭症發作，討人厭加三級，跟人緣一向不佳的葛妮絲派楚差不多的不受歡迎。珍妮佛心知自己才20幾歲就事業超順，眼紅的人不少，若是連著兩年奪得奧斯卡影后與女配角，反彈聲浪必起。事實上不少網友批她演技不夠精湛，她也不願曝光過度讓人倒胃口，所以「瞞天大佈局」沒得獎，珍妮佛沒有傷心難過，還樂得可以不用再面對一堆媒體，輕鬆與同業喝酒聊天。其實珍妮佛也無需擔心，因為下一個暴紅的青春美女已出現：「分歧者」女主角夏琳伍德利。根據美國訂票網站顯示，「分歧者」未演先轟動，首周末票房有望媲美「暮光之城」第1集，夏琳坦言接演之前曾問過珍妮佛的意見，經過對方鼓勵才點頭。她也是童星出道、演技不俗，早先在「繼承人生」、「戀夏進行式」表現都有好評，前途看好。,聯合報
2014-03-08,"放鳥蝙蝠小子
蜘蛛人挨罵",「蜘蛛人」安德魯加菲本來要在奧斯卡典禮與美國抗血癌小男孩－「蝙蝠小子」邁爾斯一起上台，表揚銀幕與現實中的英雄，結果他缺席，整段節目取消，美八卦媒體指他排演時耍大牌。主辦單位發聲明表示砍節目是為了更緊湊，他的公關團隊強調他對此也覺得失望，頒獎隔天主辦單位安排邁爾斯到迪士尼樂園遊玩，安德魯特地趕到送上小禮物，絕沒耍大牌。,聯合報
2014-03-07,不當落難貴婦 布蘭琪變身尋寶英雄,新科奧斯卡影后凱特布蘭琪，再推新片「大尋寶家」。                       凱特布蘭琪20年前的廣告片。                    新科奧斯卡影后凱特布蘭琪，再推新片「大尋寶家」。                                    新科奧斯卡影后凱特布蘭琪，演技備受推崇，在新片「大尋寶家」中，一掃「藍色茉莉」的落難貴婦，轉身詮釋法國女英雄，與她對戲的麥特戴蒙直呼她是「變色龍」，導演兼男主角的喬治柯隆尼嘴甜讚她是「梅莉史翠普第二」。凱特布蘭琪成為第一個拿下小金人的澳洲女星，相當風光，但出道時的陳年「糗」照也被網友翻出來。她20年前拍的餅乾廣告，日昨被上傳YouTube，模樣清澀稚氣。那是凱特布蘭琪24歲時，為澳洲巧克力餅乾拍的30秒廣告。描述她看到阿拉丁神燈，擦拭後就冒出精靈，精靈說她可以許願，她便祈求「能有吃不完的巧克力餅乾」，果然空盒馬上又裝滿餅乾。而新片「大尋寶家」，是麥特戴蒙二度與凱特布蘭琪合作，距離上次合作已10多年，身分地位早已不可同日而語，麥特提及她為了角色，練就標準法式英文的腔調，連法籍影帝尚杜賈丹也被震懾，面對麥特的稱讚，布蘭琪回敬：「麥特的演技精準無誤，他是我有幸能合作到的真正好演員。」「大尋寶家」描述一群中年人，想從世界大戰中，搶救險被摧毀的藝術品故事，凱特布蘭琪與麥特戴蒙片中有段曖昧小插曲，她解釋兩人是對藝術品有共同理念，最終結為好友。,聯合報
2014-03-07,"華爾街之狼
MTV電影獎入圍多",叫我大贏家奧斯卡剛落幕，緊接著MTV電影獎入圍名單揭曉，「華爾街之狼」和「瞞天大佈局」分別入圍8項，並列冠軍，「飢餓遊戲：星火燎原」7項居次，包括最佳影片和最佳女主角，今年的奧斯卡最佳影片「自由之心」，也入圍最佳影片和最佳男主角等項目。                    叫我大贏家奧斯卡剛落幕，緊接著MTV電影獎入圍名單揭曉，「華爾街之狼」和「瞞天大佈局」分別入圍8項，並列冠軍，「飢餓遊戲：星火燎原」7項居次，包括最佳影片和最佳女主角，今年的奧斯卡最佳影片「自由之心」，也入圍最佳影片和最佳男主角等項目。                                    奧斯卡剛落幕，緊接著MTV電影獎入圍名單揭曉，「華爾街之狼」和「瞞天大佈局」分別入圍8項，並列冠軍，「飢餓遊戲：星火燎原」7項居次，包括最佳影片和最佳女主角，今年的奧斯卡最佳影片「自由之心」，也入圍最佳影片和最佳男主角等項目。本屆MTV電影獎將於美國時間4月13日晚上7時舉行頒獎典禮，主持人為柯南歐布萊恩。,聯合報
2014-03-07,周永明恩人 西班牙騎士找到了,經過一周動員，宏達電表示，已找到這位周永明口中「年紀約45至50歲的男子，騎著黃色車牌的綠色Honda摩托車」騎士。他是今年53歲的Obdulio Herrera，當天剛送完女兒上學，才有第二頂安全帽；周永明匆忙間也「看走眼」，其實那輛車是亮白色。                    經過一周動員，宏達電表示，已找到這位周永明口中「年紀約45至50歲的男子，騎著黃色車牌的綠色Honda摩托車」騎士。他是今年53歲的Obdulio Herrera，當天剛送完女兒上學，才有第二頂安全帽；周永明匆忙間也「看走眼」，其實那輛車是亮白色。                                    宏達電昨天在企業部落格宣布，找到在全球行動通訊大會（MWC）期間、免費載執行長周永明一程的熱心西班牙騎士。周永明還邀請「恩人」出席3月25日在倫敦舉辦的旗艦機發表會。三星在奧斯卡頒獎典禮大玩置入行銷，利用好萊塢明星魅力一度造成推特（Twitter）當機，還依轉發次數，捐出300萬美元給慈善團體，品牌行銷手法吸睛，有別於三星砸重本，宏達電走真實故事的「小確幸」路線，昨天公布「西班牙騎士找到了」！上周西班牙舉行MWC期間，周永明趕往會場遇塞車，幸好遇好心騎士「解救」，讓他準時抵達會場，且不願收取報酬；周永明感動之餘，透過企業臉書與推特發出尋人啟事。經過一周動員，宏達電表示，已找到這位周永明口中「年紀約45至50歲的男子，騎著黃色車牌的綠色Honda摩托車」騎士。他是今年53歲的Obdulio Herrera，當天剛送完女兒上學，才有第二頂安全帽；周永明匆忙間也「看走眼」，其實那輛車是亮白色。Obdulio Herrera表示，他平常與聽障朋友一起工作，生活本來就充滿了我們應不求回報、也不應只看身分才去幫助別人的瞬間。,聯合報
2014-03-07,大黑馬！ 台灣埔桃酒 世界賽奪金,有「國際葡萄酒奧斯卡」之稱的巴黎世界酒類競賽，台灣自製的「埔桃酒」成為黑馬、擊敗多個以葡萄酒聞名全球的國家，奪下金牌獎，台灣釀酒技術讓不少與賽國家刮目相看。「巴黎世界酒類競賽」（Vinalies Internationales）是由法國釀酒師公會與世界葡萄酒與烈酒公會在一九九三年創辦，今年是第廿屆舉行，裁判多是各國長期從事酒類釀造、或長期研究酒的釀酒師，比賽標準參照世界葡萄酒公會OIV方式嚴格執行，現場還有ISO監察員監督執行，可說是世界上標準最嚴謹的葡萄酒競賽。為我奪下金牌獎的是使用台中后里金香葡萄（Golden Muscat），由高雄餐旅大學助理教授陳千浩技術轉移，輔導本地樹生酒莊所釀造的「埔桃酒」。在全球三千五百零三款葡萄酒中拿下金牌獎，陳千浩教授難掩興奮之情的表示，由於「埔桃酒」的研發釀製，使得原本在台灣耕種面積逐漸縮減、瀕臨絕跡的金香葡萄，又開始在后里當地重新復育，預計兩年後可投入埔桃酒的生產，福爾摩沙葡萄酒的故事可望將由此全新開展。,聯合報
2014-03-06,奧斯卡明星自拍 辛普森也來鬧,奧斯卡明星自拍照太夯，「辛普森家庭」也在節目中諧仿。                       凱特布蘭琪以刺青慶祝封后，她左手腕上貼了黑色繃帶。                    奧斯卡明星自拍照太夯，「辛普森家庭」也在節目中諧仿。                                    奧斯卡落幕，新科影后凱特布蘭琪心情大好，跑去刺青。當天主持人艾倫狄珍妮絲和大明星的自拍照太夯，卡通「辛普森家庭」都拿來諧仿。倒是念錯入圍者名字的約翰屈伏塔很沮喪，發聲明道歉。凱特布蘭琪和「瞞天大佈局」的艾美亞當斯一同競逐影后，私下不傷感情。典禮隔天，她被拍到和老公安德魯、艾美及其未婚夫到好萊塢知名刺青店，凱特布蘭琪左手腕上貼了黑色繃帶，艾美未婚夫的右手臂也有美容膠帶。「每日郵報」比對當天稍早凱特布蘭琪上艾倫節目後的合影，當時她左手沒有膠帶。安琪莉娜裘莉、凱蒂佩芮等都是那間刺青店的常客，店家以尊重隱私拒絕透露細節。艾倫狄珍妮絲主持奧斯卡創高收視，她和明星的自拍照，短時間內破了轉推紀錄，高漲人氣帶動她隔天「艾倫脫口秀」的收視，創節目開播11年以來新高。約翰屈伏塔奧斯卡介紹演唱「冰雪奇緣」主題曲的伊蒂娜曼澤爾（Idina Menzel），竟把名字念成「愛黛兒達茲（Adele Dazeem）」，錯得離譜。他昨發表道歉聲明，先說他自責不已，繼之一想，也許伊蒂娜會以歌名「Let it go（放手吧）」安慰他，要他別難過。,聯合報
2014-03-06,大勝奧斯卡？凸顯文化界的無力感,《KANO》上映，遇到奧斯卡頒獎，台灣一獎未得，電視新聞標題卻以「KANO大勝奧斯卡強片」報導《KANO》票房盛況，頗令有識者尷尬。從教育者立場，看完電影第一個疑問是，究竟哪些部分為「真實故事紀錄片」？哪些部分是「取材於歷史的劇情片」？既然編導一再強調「日本人、漢人、高砂族一起創造榮耀」，為何不乾脆安排一個三族共和贏得冠軍結局？由大層次看，從《海角七號》的台日戀情，到《賽德克．巴萊》把霧社事件演繹為現代化（日本）與前現代（原住民）傳統之必然衝突，到《KANO》硬生生插入八田與一的故事，反映出後殖民社會裡被殖民者對於自身定位的恐慌。整體而言，台灣社會對文化的要求，遠低於對政治的標準，所以表態參選的柯文哲不過說了句「用mercy面對二二八」，自家人都開罵，但《KANO》也對於日本殖民歷史「寬容」，卻贏得相當讚美。若連勝文口中的「台灣精神」，被批得一文不值，那麼《KANO》又何德何能去定義「嘉義精神」呢？文化界常有「權利」藉由「寬容面對」甚至「解構」歷史，去遮掩後殖民時代的深層焦慮。我多次在香港友人身上看到這種焦慮，不少港人吃牛肉麵一定要配咖啡，堅持包子用烤的比用蒸的好吃，其態度恐非來自獨樹一格的創意，而是下意識裡霸權移轉過程後，企圖重建舊美學的心態。《KANO》裡台灣人對於甲子園的仰望孺慕，深刻演示了「皇民化精神」，難怪這部片隨即獲邀到日本參展，成為開幕片，嘉農棒球隊被日本人打敗的情節，顯然相當獲得日本右翼的認同。另方面，《KANO》因日語太多無緣金馬獎的說法，其實僅是幌子，畢竟演員演技青澀、敘事一廂情願，甚至特效缺憾、畫面與配樂精緻度，都使此片與包括奧斯卡在內的國際級大獎處在不同檔次，其囧相並非導演或監製一句「不得獎也無所謂」就能掩飾。坦白說，《KANO》就是一部聳動熱血的體育電影，劇中真正精華是日本教練的斯巴達訓練。但教育界也想問：為何現在台灣容不下那種「不准輸」的魔鬼訓練？現今的老師，既沒統治階級帶來的身分特權去嚴格訓練，反而時時擔心被媽寶和恐龍家長投訴！《KANO》電影裡教練之積極嚴格，與現實上教育界消極無奈的反差，使得「是否日本人才教得出好球隊、蓋得出好水庫」的假命題更弔詭！身為教育者，面對嘉義市政府補助五百萬，又在全市貼滿海報、掛滿羅馬旗、更在市中心中央噴水立銅像為其宣傳的《KANO》，該對學生講述什麼？畢竟，《KANO》是部商業電影，拍出來要賣錢，縱使政府部門將之冠上「文化」兩字，本就談不上什麼得獎不得獎的。這幾年，台灣的文創行銷愈來愈沒文化味，幾年前曾參加電影講座，電影公司除了演員，還請來小說家從創作者角度暢談電影帶出的議題與反思，甚至請出劇場導演仔細分析劇本寫作。如今，則連素人帥哥演員被女粉絲偷親臉，都當成大新聞播送。台灣近年文創發展遭遇瓶頸，日昨馬總統參觀興建中的高雄衛武營園區，擔憂變成「蚊子館」，台中歌劇院和國家表演藝術中心的爭議…都凸顯文化界的無力感，也反映民眾看待文化的心態問題。,聯合報
2014-03-06,生活秘書（2014.03.06）,我不是從山腳走上山頂，而是每一次只走一步。─聖嚴法師（法鼓山創辦人）星座 今日運勢 射手 友善鄰居    摩羯 理財此時    水瓶 廣結善緣    雙魚 愛的希望歷史上的今天    1899年：可以有效並迅速解除頭痛的藥丸阿斯匹靈，獲准上市。1918年：阿里山發生森林大火，連燒3天，珍貴林木損失不貲。1973年：以描繪中國農民長篇小說「大地」獲諾貝爾文學獎的美國女作家賽珍珠去世，享壽81歲。2006年：執導影片「斷背山」，李安獲第78屆奧斯卡最佳導演等多項大獎。2013年：微軟因未讓客戶選擇網路瀏覽器，遭歐盟重罰5.61億歐元。,聯合報
2014-03-05,奧斯卡亮點 珠寶簡潔美,"「暮光之城」女星安娜坎卓克配戴伯爵Couture Precieuse耳環。                       好萊塢男星布萊德利庫柏西裝筆挺，他配戴的是蕭邦L.U.C 1937腕表。                       蕭邦L.U.C 1937腕表，精鋼殼搭配白色面盤、黑色鱷魚皮表帶，散發沉穩內斂的氣質。                    「暮光之城」女星安娜坎卓克配戴伯爵Couture Precieuse耳環。                                    奧斯卡紅毯星光，珠寶是不可缺少的要角。今年奧斯卡的紅毯珠寶風格內歛，晶瑩剔透的鑽石取代繽紛彩寶，或轉而把重心放在耳環、手環上，詮釋「化整為零」的精緻時尚。娜歐蜜華茲 寶格麗項鍊當領子茱莉亞羅勃茲穿Givenchy黑色禮服，配戴寶格麗鑽石耳環，完全捨棄繁複的項鍊，露出雪白的美頸和美胸，以免搶走胸前黑色蕾絲裝飾的丰采。娜歐蜜華茲穿Calvin Klein雪白色禮服走紅毯，配戴寶格麗網狀鑽石項鍊，項鍊猶如領子一般，別具創意。奧斯卡頒獎典禮是年度盛會，絕少會發生「撞衫」或「穿舊衫」的意外，不過今年莎莉賽隆在奧斯卡紅毯穿DIOR黑色禮服，竟與日前瑪莉亞凱莉在年度藝人大獎（BET Honors獎）的禮服同款。還好她選擇佩戴Harry Winston的細鍊鑽石項鍊，要價1,500萬美元（約4億5千萬元台幣），多少也有加分作用。潔西卡貝兒 高雅Tiffany手環入圍奧斯卡最佳女主角的艾美亞當斯穿Elie Saab藍色禮服、搭配Tiffany的Blue Book系列珠寶，一款梨形黃色綠柱石鑲嵌水晶耳環，主石是蛋面紅紋石外鑲青金石，以對比色系凸顯藍色禮服。出席頒獎的潔西卡貝兒穿香奈兒訂製禮服，搭Tiffany鑽石項鍊和藍寶鑽石耳環、藍寶鑽石手環，更添高雅。蕭邦（Chopard）此次祭出首度曝光的2014紅地毯系列珠寶（Red Carpet Collection），提供以「藍色茉莉」奪得影后的女星凱特布蘭琪配戴。她同時也配戴咖啡色鑽石手環，以及重達四克拉的梨形車工戒指，與裸膚色的水晶禮服相映成趣。擔任頒獎人的女星潘妮洛普克魯茲以蕭邦的鑽石耳環、手環搭配一襲粉紅色禮服，典雅又不失純真氣息。布萊德利庫柏 蕭邦表沉穩內斂當晚以「藥命俱樂部」拿下奧斯卡影帝的馬修麥康納，配戴蕭邦的L.U.C XP Tonneau腕表。典禮開始前，一張馬修正在看時間的畫面，令人莞爾。影帝影后都配戴蕭邦的珠寶和腕表，品牌也與有榮焉。因「瞞天大佈局」入圍男配角的布萊德利庫柏，則配戴蕭邦L.U.C 1937腕表，展現內斂沉穩氣質。伯爵（Piaget）亦提供今年全新的珠寶腕表給以「藥命俱樂部」得到最佳男配角的演員傑瑞李托，伯爵全新Altiplano手上鍊超薄腕表搭配白色西裝，凸顯個人風格。「暮光之城」女星安娜坎卓克配戴的是伯爵Couture Precieuse耳環和Piaget Rose戒指，與黑色禮服相呼應。演員兼歌手克莉絲汀貝兒則配戴伯爵全新珠寶系列Piaget Rose Passion的項鍊和耳環，優雅而秀氣。演出「瞞天大佈局」的男星傑瑞米雷納，當天配戴積家超薄系列腕表Master Ultra Thin 41出席盛會。",聯合報
2014-03-05,晚宴解放 女星深Ｖ露性感,拿下最佳女主角的露碧塔妮詠奧開心出席會後派對，穿完PRADA換上的是miu miu新裝。                       瑞絲薇絲朋穿BOSS 2014秋冬系列黑灰色亮片刺繡絲質禮服出席奧斯卡晚宴派對，正面與側面大秀性感。                    拿下最佳女主角的露碧塔妮詠奧開心出席會後派對，穿完PRADA換上的是miu miu新裝。                                    奧斯卡紅毯女星穿得保守經典，但稍晚的晚宴派對（Vanity Fair Oscar Party）上，眾人似乎齊心大解放，可透視的薄紗蕾絲裝、前面超級深V或大露腰、露背等，讓派對的性感歡樂熱度破表。身材火辣超模搶先「露」，英超模出身蘿西杭廷頓近乎中空的薄紗裝PK米蘭達蔻兒的深V銀色亮片裝，雖然亮片氣勢大勝，但前者手挽老公傑森史塔森當裝飾，用甜蜜取勝。以「自由之心」拿下最佳女配角的露碧塔妮詠奧（Lupita Nyong'o），紅毯一襲水藍色PRADA洋裝大獲讚賞，晚宴改穿miu miu洋裝走華麗風，今年運勢紅不讓的她，也是miu miu春夏廣告代言人之一。紅毯裝扮同樣受好評的凱特哈德森，晚宴再接再厲，穿僅用黑色刺繡遮重點的膚色薄紗Zuhair Murad高級訂製服，搭配Ferragamao手拿包，露得高雅大方。瑞絲薇絲朋以BOSS黑色禮服突破個人裸露極限，正面深V外，側面看去竟也是全空；黛安克魯格選擇Valentino黑色蕾絲裝，但可惜腰線和比例不佳，有點走味，對向來走優雅風的她也算是種另類突破。穿Dior紅色禮服在紅毯上頗獲好評的珍妮佛勞倫斯，晚宴上改穿Tom Ford的長袖亮片洋裝，但背部和側面全是可透視薄紗，若隱若現的臀部引人遐想。,聯合報
2014-03-05,馬修麥康納 艾美視帝大熱門,"馬修麥康納被看好以「無間警探」奪下艾美獎視帝。                       「自由之心」的票房可望因奧斯卡加持，往上攀升。                       露琵塔妮詠奧新片「空中救援」登上全美票房冠軍。                    馬修麥康納被看好以「無間警探」奪下艾美獎視帝。                                    新出爐的奧斯卡得主無不希望藉獎項之助為事業加一把勁，據歐美娛樂媒體的看法，新科影帝馬修麥康納人紅氣旺，今年夏末有可能憑HBO影集「無間警探」再奪艾美獎；原知名度不高的最佳女配角露琵塔妮詠奧，很幸運地在連恩尼遜全美賣座冠軍大片「空中救援」軋上一角，是當下最有話題的王牌新秀。雖然以往盛傳「小金人的詛咒」，但包括麥特戴蒙、班艾佛列克等，得獎後氣勢直攀巔峰。今年幾位得獎者中，馬修麥康納早就知名度高，雖曾被侷限在奶油小生路線，獲獎後戲路大開。他在HBO影集「無間警探」演技突出，連美國總統歐巴馬都是忠實戲迷，不少美國影藝學院會員也表示「無」劇讓他們更有信心在奧斯卡影帝上投給馬修支持票，8月下旬在美舉辦的艾美獎頒獎典禮，馬修被預期是視帝的大熱門。去年奧斯卡把珍妮佛勞倫斯捧為最搶手的年輕女星，今年獲加持是露琵塔妮詠奧，不單「自由之心」讓其實力受肯定，新片「空中救援」還沾上票房保證連恩尼遜的光，上周末以近2890萬美元（約台幣8.8億）成為北美票房周冠軍，該片有連恩尼遜與茱莉安摩爾主演，露琵塔妮詠奧飾演空服員。而小金人對於電影票房究竟有多大的加持效果？其實很難量化。針對1978到1987年間131部獲奧斯卡提名的電影分析，發現獲得最佳影片加持的電影，票房平均可增加1,270萬美元，現在大概是1,400萬美元。「自由之心」獲獎後在美國已增加院線播映，台灣將於14日上映。獲得最佳導演的「地心引力」在美國順勢推出DVD，在台灣重新上映。",聯合報
2014-03-05,奧斯卡披薩暴紅 蜘蛛人消失成謎,"披薩小弟艾德嘉(左)終於在艾倫狄珍妮絲的談話節目拿到一千美元小費。                    披薩小弟艾德嘉(左)終於在艾倫狄珍妮絲的談話節目拿到一千美元小費。                                    本屆奧斯卡頒獎典禮收視無論在台灣或美國都創下佳績，STAR MOVIES前晚9點中文字幕播映的平均收視0.65，只輸給李安「斷背山」與「少年PI的奇幻漂流」參與角逐那兩屆；美國則有4,300萬觀眾收看，不但是10年來最多人觀賞的一屆，還是自「六人行」完結篇後無線電視網播出非運動轉播節目的最佳收視。第二度主持奧斯卡頒獎的艾倫狄珍妮絲並未像去年主持人賽斯麥克法蘭一樣開玩笑太過犀利，頒獎典禮氣氛平淡卻不乏驚喜，如成為全球話題的「巨星自拍」和「搶食披薩」，在STAR MOVIES晚間重播時都開出破1.1的高收視。瞬間變成世界最紅披薩小弟的艾德嘉，隔天現身艾倫的談話節目當來賓，接到1,000美元的豐厚小費，也坦言當晚真的沒想到會送披薩給一堆巨星，最開心是見到夢中情人茱莉亞羅勃茲，而披薩店也一夕暴紅，各地分店生意好到不行，大家都想吃「奧斯卡披薩」。但頒獎典禮也出現一宗「懸案」，早先預定是頒獎嘉賓之一的「蜘蛛人」安德魯加菲臨陣缺席，「美國隊長」克里斯伊凡義氣相挺救場，免得早就安排好的「向英雄致敬」片段無人擔任引言。",聯合報
2014-03-04,奧斯卡紅毯 裸唇妝 一面倒,玫琳凱流光潤彩唇膏、800元。                       Kiss Me奇士美晶俏美型唇蜜優雅木蘭、520元。                    玫琳凱流光潤彩唇膏、800元。                                    台灣市場受韓劇影響一窩蜂流行「咬唇妝」，飽滿螢亮色系走紅，但昨日奧斯卡頒獎典禮上，優雅的粉嫩裸色調幾乎是所有巨星一面倒的選擇，提供即將採購春妝的女性全新選購方向。今年奧斯卡紅毯上，女星多選擇充滿光澤感，且春意盎然的粉嫩裸色妝點嘴唇，低調優雅的質地自然融合於膚色，如同由內而外自然散發的好氣色，同時又不搶走整體視覺焦點。如最佳女主角的凱特布蘭琪薄紗禮服搭配裸色唇膏，帶來女神氣質；安琪莉娜裘莉也以低調裸色唇膏襯托銀色禮服；另外珍妮佛勞倫斯、艾美亞當斯等女星也都挑選春意盎然的粉紅或粉橘裸色，透過雙唇展現低調動人的氣質。今年春妝無論是專櫃、開架或直銷，都以唇妝最具賣點，商品主要朝兩方向發展，一是大膽螢亮色系，如熱粉紅、芭比粉紅、螢亮珊瑚色等，另一派則是經典百搭的裸色系，後者感覺略已退燒但隨奧斯卡頒獎典禮，勢必再成為熱點。玫琳凱推出流光潤彩唇膏，強調光澤、水潤與遮蓋唇紋，自然裸與氣質藕都符合這波紅毯潮流。KISS ME主打添加洋甘菊保濕成分的粉嫩色調，像有透明光澤的莓果紅，優雅木蘭帶來嬌滴滴氣息；Crystal Dia香頌甜心美唇雙用筆帶來粉嫩色感；露華濃蠟筆狀潤唇筆，炫亮、粉霧版都有優雅色系；艾杜紗推裸色晶亮護唇蜜。,聯合報
